Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
"Population, 2021",112764,144937,104316,696992,210276,174301,116706,569353,596637,189183,171450,142931,206962,128154,179830,500563,477941,129362,77338,1017449,1451022,147681,81188,202431,107522,599843,1030879,152885,32394,2794356,587165,307283,422860,1173334
% Female,0.508,0.509,0.508,0.512,0.506,0.506,0.504,0.509,0.513,0.505,0.508,0.507,0.509,0.507,0.511,0.51,0.513,0.504,0.497,0.512,0.505,0.515,0.498,0.506,0.5,0.506,0.508,0.502,0.506,0.517,0.502,0.508,0.503,0.512
Total Cases,14202,16083,12246,78487,22714,13525,12357,79516,61686,14946,16576,11345,27191,15481,16061,52760,56138,10276,16338,99057,218990,12850,10276,24575,9232,62793,20041,20948,3683,402323,60428,29736,56712,140224
Total Deaths,128,171,159,625,340,163,150,750,520,213,161,193,182,191,192,654,754,116,85,1282,1772,195,105,268,118,741,259,169,42,5249,577,251,839,1387
"Population, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population percentage change, 2016 to 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total private dwellings,59245,58308,46921,250559,90418,92775,50795,233564,214322,100657,82075,63517,100320,60322,84998,216736,207926,75352,41342,427113,467970,73045,39038,98791,52365,272647,457890,74175,17145,1253238,233253,121675,174446,405863
Private dwellings occupied by usual residents,51246,56254,44178,243048,87030,73421,46313,222807,208601,79750,72473,58106,87875,55205,76527,204157,195914,57011,31137,407252,450746,61741,34820,87584,45525,231395,419403,66079,14581,1160892,222426,115132,165787,391034
Population density per square kilometre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land area in square kilometres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
